wl,sci,sce
360,5.58000000,5.54000000
370,5.82000000,5.79000000
380,6.14000000,6.11000000
390,6.47000000,6.44000000
400,6.75000000,6.73000000
410,6.97000000,6.95000000
420,7.19000000,7.18000000
430,7.41000000,7.41000000
440,7.63000000,7.63000000
450,7.80000000,7.80000000
460,7.94000000,7.93000000
470,8.01000000,8.00000000
480,8.09000000,8.08000000
490,8.22000000,8.21000000
500,8.42000000,8.42000000
510,8.69000000,8.69000000
520,8.99000000,8.98000000
530,9.24000000,9.24000000
540,9.49000000,9.49000000
550,9.79000000,9.79000000
560,10.19000000,10.19000000
570,10.66000000,10.66000000
580,11.17000000,11.18000000
590,11.69000000,11.70000000
600,12.11000000,12.12000000
610,12.40000000,12.41000000
620,12.56000000,12.58000000
630,12.68000000,12.70000000
640,12.74000000,12.76000000
650,12.77000000,12.80000000
660,12.77000000,12.81000000
670,12.71000000,12.75000000
680,12.81000000,12.86000000
690,13.41000000,13.47000000
700,14.24000000,14.30000000
710,14.74000000,14.80000000
720,15.07000000,15.13000000
730,15.32000000,15.38000000
740,15.52000000,15.60000000
