wl,sci,sce
400,0.00000000,7.49000000
410,0.00000000,7.62000000
420,0.00000000,7.77000000
430,0.00000000,7.97000000
440,0.00000000,8.19000000
450,0.00000000,8.33000000
460,0.00000000,8.43000000
470,0.00000000,8.51000000
480,0.00000000,8.63000000
490,0.00000000,8.75000000
500,0.00000000,8.96000000
510,0.00000000,9.21000000
520,0.00000000,9.48000000
530,0.00000000,9.80000000
540,0.00000000,10.30000000
550,0.00000000,11.11000000
560,0.00000000,12.28000000
570,0.00000000,13.90000000
580,0.00000000,15.83000000
590,0.00000000,17.76000000
600,0.00000000,19.39000000
610,0.00000000,20.62000000
620,0.00000000,21.47000000
630,0.00000000,22.17000000
640,0.00000000,22.75000000
650,0.00000000,23.35000000
660,0.00000000,23.97000000
670,0.00000000,24.58000000
680,0.00000000,25.31000000
690,0.00000000,26.10000000
700,0.00000000,26.91000000
